startHub,endHub,road_geometry
midland,abilene,"LINESTRING (-102.07795 31.997434000000005, -101.832297 32.11373699999999, -101.80826300000001 32.137566999999976, -101.75913300000002 32.14055900000001, -101.645076 32.181624, -101.572249 32.22205000000001, -101.527451 32.23260999999998, -101.503241 32.26055199999999, -101.385304 32.26889500000002, -101.223388 32.307573000000005, -101.200744 32.325022000000004, -101.01144100000002 32.35385900000002, -100.959877 32.38607699999999, -100.906758 32.392989, -100.87328600000001 32.40944600000001, -100.85344400000001 32.41237900000001, -100.81837 32.397163000000006, -100.717112 32.415203000000005, -100.681274 32.40677000000001, -100.46663 32.453417000000016, -100.394856 32.450743, -100.358782 32.48378400000001, -100.269035 32.49625600000001, -100.200485 32.48498000000001, -100.125908 32.495747000000016, -100.106317 32.48553100000001, -100.002903 32.47633, -99.926842 32.459186999999986, -99.747886 32.44645199999999)"
pasadena,pearland,"LINESTRING (-95.209285 29.69106700000001, -95.209345 29.69282100000001, -95.210674 29.69281299999999, -95.211992 29.690847, -95.21968900000002 29.690754999999992, -95.22102800000002 29.687198999999996, -95.238339 29.670791000000015, -95.259904 29.670246999999996, -95.26315000000001 29.668587000000024, -95.263238 29.658168, -95.265102 29.652573000000015, -95.26472 29.632509, -95.266849 29.626481000000013, -95.285485 29.625499999999995, -95.286376 29.563979000000014)"
amarillo,midland,"LINESTRING (-101.833821 35.207234, -101.909373 35.117388999999996, -101.918975 35.024045, -101.849058 34.942867000000014, -101.84751 34.721275, -101.708702 34.23774099999999, -101.750388 34.12930300000001, -101.853809 34.045395000000006, -101.806987 33.006524000000006, -101.95123100000002 32.750225999999984, -101.926992 32.707264, -102.172635 32.328414, -102.07795 31.997434000000005)"
abilene,wichitaFalls,"LINESTRING (-99.747886 32.44645199999999, -99.784637 32.452901000000004, -99.75095 32.518199, -99.81150000000001 32.59215499999998, -99.896266 32.73654499999998, -99.896653 32.775960000000005, -99.868977 32.812822999999995, -99.868303 32.86553200000002, -99.81415 32.941430000000004, -99.769921 33.03671199999998, -99.750094 33.11723600000001, -99.72885 33.14298600000003, -99.72576 33.18350900000001, -99.679642 33.29899699999999, -99.678679 33.32381200000002, -99.619262 33.447316, -99.522159 33.464274999999994, -99.28995 33.561068000000006, -99.280158 33.578139000000014, -99.243924 33.58413200000002, -99.24013200000002 33.61861900000002, -99.146472 33.66821899999999, -99.081083 33.68592200000002, -98.981173 33.691824999999966, -98.916394 33.732884999999996, -98.71659 33.80819399999998, -98.646802 33.854835000000016, -98.542934 33.87998600000001, -98.501791 33.90045599999999)"
austin,sanAntonio,"LINESTRING (-97.743783 30.270907999999977, -97.734686 30.266826999999985, -97.735327 30.243862000000018, -97.78803700000002 30.163954000000018, -97.870116 29.996549000000023, -97.879418 29.949378999999983, -97.905124 29.900946999999988, -98.021249 29.795620999999997, -98.095939 29.698420000000002, -98.1436 29.682108000000014, -98.387028 29.535482999999996, -98.414543 29.454798000000007, -98.444062 29.439668999999977, -98.486301 29.44017500000001, -98.495383 29.424529999999994)"
texarkana,tyler,"LINESTRING (-94.077288 33.44683500000002, -94.080341 33.436176, -94.097287 33.431598999999984, -94.098741 33.394523, -94.150725 33.335279000000035, -94.151162 33.15614, -94.184077 33.11123000000001, -94.22492400000002 33.09729099999999, -94.362897 33.001351, -94.435099 32.97609500000001, -94.55405500000002 32.89375999999999, -94.642242 32.87343500000001, -94.708957 32.84706599999999, -94.870788 32.81148700000002, -94.88588000000001 32.78702199999999, -94.928015 32.755907, -94.945487 32.71210100000001, -95.15083 32.557283999999996, -95.187046 32.451291999999995, -95.207264 32.424458, -95.271171 32.39467900000001, -95.300661 32.351262)"
sanJacinto,centerville,"LINESTRING (-95.19257100000002 30.509218000000004, -95.19803300000001 30.513507999999995, -95.204414 30.511037000000016, -95.206157 30.522486999999984, -95.217979 30.52523799999999, -95.235021 30.54266300000001, -95.238821 30.56112799999999, -95.297328 30.543036999999988, -95.333552 30.524108000000002, -95.386013 30.523048000000003, -95.456085 30.535493, -95.468914 30.531517, -95.495577 30.546271, -95.502147 30.566349, -95.510521 30.65866500000001, -95.51992 30.676047000000004, -95.55167 30.69323300000001, -95.583556 30.732906000000007, -95.676492 30.794044000000003, -95.716874 30.835551, -95.748693 30.859409999999997, -95.789441 30.90907199999998, -95.877528 30.960284000000023, -95.943193 31.041982000000015, -95.975773 31.123205000000006, -95.996644 31.21005400000001, -95.987848 31.25602100000001, -95.978528 31.257975999999974)"
deerPark,leagueCity,"LINESTRING (-95.123815 29.70522800000001, -95.123806 29.699880000000018, -95.153858 29.701704000000017, -95.15856 29.64243900000002, -95.173786 29.627585, -95.204686 29.60604099999999, -95.127356 29.524908000000007, -95.114436 29.503014000000007, -95.094971 29.507551999999986)"
sanJacinto,houston,"LINESTRING (-95.19257100000002 30.509218000000004, -95.189517 30.494349000000007, -95.183374 30.490216999999998, -95.194684 30.48315999999998, -95.185225 30.464375999999984, -95.172211 30.444983000000004, -95.151493 30.428629, -95.137882 30.422733999999974, -95.116388 30.42535600000002, -95.090187 30.35306500000003, -95.11224700000001 30.30355800000001, -95.160668 30.240786000000007, -95.226004 30.139266999999993, -95.258772 30.027044999999998, -95.312401 29.901154999999978, -95.333031 29.864986999999992, -95.340807 29.771426999999985, -95.365633 29.769328999999992, -95.372114 29.761940000000006, -95.36786300000001 29.758731)"
baytown,texasCity,"LINESTRING (-94.97759300000001 29.735551000000005, -94.980797 29.714703999999983, -95.001877 29.713670999999994, -95.017772 29.703013999999992, -95.030215 29.690737000000016, -95.02987 29.63690399999999, -95.034413 29.622824000000012, -95.026146 29.563416000000004, -95.021187 29.543268000000023, -94.970438 29.455819000000034, -94.958775 29.411382000000014, -94.952321 29.40146600000003, -94.95159 29.395258999999992, -94.916194 29.393238000000007, -94.917544 29.395026000000016)"
montBelvieu,channelview,"LINESTRING (-94.890783 29.847938000000003, -94.895436 29.847546999999995, -94.894756 29.83697400000001, -94.89945 29.822182999999995, -94.919002 29.821147999999987, -94.942917 29.811404999999986, -95.009891 29.800338000000004, -95.02590400000001 29.799706999999998, -95.05175 29.790585000000014, -95.056567 29.790760000000006, -95.067298 29.795181000000028, -95.072052 29.79513800000001, -95.106624 29.785421000000028, -95.10539 29.78137200000001, -95.114654 29.776139999999984)"
corpusChristi,mcallen,"LINESTRING (-97.403232 27.7634, -97.44027 27.786034999999977, -97.634022 27.783285000000003, -97.766255 27.811462000000017, -97.933626 27.777179000000018, -98.021236 27.780939000000004, -98.069984 27.749488, -98.15072 27.15784700000001, -98.136051 26.870740000000005, -98.099102 26.771181000000016, -98.109959 26.642253000000018, -98.150809 26.277492000000017, -98.182527 26.20851900000001, -98.230081 26.204024999999994)"
texarkana,dallas,"LINESTRING (-94.077288 33.44683500000002, -94.087418 33.439833999999976, -94.099677 33.45247499999999, -94.26712400000001 33.47660100000001, -94.337157 33.468392, -94.444714 33.47596199999999, -94.52475 33.44033700000001, -94.713201 33.299202000000015, -94.785991 33.28742900000001, -94.88162800000002 33.23204099999999, -94.916209 33.199935999999994, -95.03651 33.15850599999999, -95.390597 33.16626699999999, -95.451789 33.147748000000014, -95.561362 33.144774000000005, -95.595235 33.11642900000001, -95.721293 33.11957699999999, -95.787835 33.131596999999985, -96.072877 33.13578999999999, -96.200666 33.021938, -96.25943600000001 32.987447, -96.330294 32.970159, -96.386615 32.92967600000001, -96.445409 32.91303400000001, -96.67704 32.799641, -96.759976 32.79078700000001, -96.796749 32.775945)"
odessa,vanHorn,"LINESTRING (-102.367677 31.845699999999972, -102.514364 31.768725999999976, -102.610352 31.730679999999996, -102.799636 31.62019299999998, -102.84427400000001 31.607200000000002, -102.87694200000001 31.579295999999992, -102.944747 31.57533800000001, -103.327759 31.475238000000008, -103.398096 31.419714000000006, -103.49842 31.39589000000001, -103.556289 31.406481000000017, -103.741816 31.339833, -103.854305 31.269380999999996, -104.070459 31.083911, -104.100514 31.084426, -104.159029 31.060793999999998, -104.413745 31.073787000000006, -104.739504 31.042878999999992, -104.831587 31.04297499999998)"
houston,sanAntonio,"LINESTRING (-95.36786300000001 29.758731, -95.373875 29.77879600000001, -95.462238 29.78446899999999, -95.983167 29.78267299999998, -96.284821 29.750775000000004, -96.54306 29.691986999999994, -97.141398 29.69669399999999, -97.486379 29.649613999999996, -97.671894 29.65183199999999, -97.803773 29.615535000000005, -97.970348 29.598996999999994, -98.044891 29.549649, -98.25680500000001 29.47676399999999, -98.436908 29.42013900000001, -98.495383 29.424529999999994)"
