startHub,endHub,road_geometry
4283,4287,"LINESTRING (-114.142918 34.863999000000014, -114.146914 34.86749699999998, -114.146454 34.878997, -114.154948 34.900290000000005, -114.116869 35.104417000000005, -114.10998 35.124210999999995, -114.093264 35.14877599999997, -114.074157 35.163372, -114.074672 35.176159, -114.066414 35.19088800000001, -114.07005900000001 35.19073999999999)"
100372,107575,"LINESTRING (-96.068959 30.377000999999986, -96.047925 30.336657999999993, -96.04105 30.26841500000002, -96.054734 30.231067999999983, -96.083069 30.08194700000002, -96.104635 30.05821000000001, -96.107672 30.046114, -96.125822 30.031097000000003, -96.1878 30.00068000000001, -96.23709 29.95585999999999, -96.25288900000001 29.94864000000001, -96.24642 29.927540000000008, -96.170599 29.839087, -96.153224 29.765504000000007, -96.169763 29.759921999999996, -96.190786 29.763868999999993, -96.284821 29.750775000000026, -96.493907 29.712219000000005, -96.538944 29.691809000000006)"
71843,72064,"LINESTRING (-106.89207340526211 34.04800962547365, -106.89278932520494 34.078464525028025, -106.91840007316546 34.159615193725095, -106.92419893372116 34.21050499028142, -106.88010401486166 34.32892306374458, -106.8735720722231 34.36206209975956, -106.83787920479364 34.41898117954946, -106.82155922405643 34.41617220189918, -106.528833 34.43310699999999, -106.52090100000001 34.42877800000002, -106.511728 34.40433199999998, -106.48544 34.40547, -106.446974 34.43590800000002, -106.411583 34.42682700000001, -106.397322 34.438197, -106.38098 34.438348000000005, -106.339783 34.45145100000001, -106.296319 34.479099999999974, -106.283637 34.500071999999996, -106.24699 34.51700000000002)"
29,102826,"LINESTRING (-97.511316 28.006487000000018, -97.52155200000001 28.006660999999994, -97.523408 28.01771499999999, -97.588177 27.943735000000018, -97.631343 27.904792000000008, -97.623077 27.86710900000002, -97.629756 27.85782200000001, -97.639369 27.808903999999995, -97.653775 27.792929000000008, -97.65626 27.78229199999998, -97.675701 27.770127, -97.731052 27.701420999999996, -97.744455 27.664735000000004, -97.758975 27.654442999999997, -97.782048 27.611261, -97.782128 27.592629000000006)"
97978,95899,"LINESTRING (-96.972762 30.867987000000007, -96.99506 31.007802999999996, -96.973098 31.061413000000023, -96.980882 31.102241000000017, -97.080114 31.285908999999993, -97.081726 31.373447, -97.133177 31.524597000000014, -97.095472 31.629061999999973, -97.102669 31.791805, -97.081265 31.877232999999997, -97.119237 31.967371999999987, -97.095946 32.003414, -97.090969 32.04595700000001)"
71837,11,"LINESTRING (-105.595895 34.24499300000001, -105.449583 34.133865, -105.41145 34.123123000000014, -105.369224 34.12774799999998, -105.311573 34.115182000000004, -105.22406 34.122514, -105.198268 34.142143, -105.056191 34.15877099999999, -104.830816 34.12687, -104.76025000000001 34.04609299999998, -104.600009 33.914605000000016, -104.576224 33.819770000000005, -104.56164 33.646938000000006, -104.519607 33.58519100000003, -104.523074 33.42324500000002, -104.505857 33.423191000000024, -104.505471 33.394155999999995, -104.46091900000002 33.394326, -104.455951 33.368514000000005)"
19,99923,"LINESTRING (-101.95097 32.305620000000005, -101.930834 32.30683700000001, -102.014881 32.574514, -101.959202 32.69058600000001, -101.946714 32.702496, -101.926992 32.70726400000002, -101.94482 32.719834000000006, -101.949988 32.73600299999999)"
4122,16,"LINESTRING (-111.391179 32.64683100000002, -111.392133 32.648928999999974, -111.371426 32.631685999999995, -111.337762 32.59173200000001, -111.315868 32.610909, -111.286607 32.61097600000001, -111.260339 32.616462000000006, -111.236061 32.612925, -111.215174 32.62261199999999, -111.19777 32.62252500000002, -111.185764 32.62716500000002, -111.176281 32.626954, -111.154255 32.63504799999998, -111.118506 32.641247, -111.097197 32.656279000000005, -111.060209 32.660241000000006, -111.051286 32.66331800000002, -111.068161 32.675329000000005, -111.075854 32.68623300000002, -111.09637300000001 32.705562, -111.130012 32.74746400000001, -111.158238 32.770323999999995, -111.175745 32.793012999999995, -111.299291 32.92238600000002, -111.346887 32.92221299999999, -111.348312 32.914475)"
4256,4306,"LINESTRING (-113.769009 33.63423000000001, -114.028047 33.664081000000024, -114.0719 33.67883400000001, -114.217035 33.666686999999996, -114.21684100000002 33.994873999999975, -114.242177 34.00816199999999, -114.258054 34.031512000000006, -114.257769 34.065819, -114.276228 34.093064999999996, -114.28915 34.150394000000006, -114.20979 34.19090699999998, -114.205429 34.208682, -114.16090600000001 34.254259999999995, -114.12997600000001 34.25859799999999, -114.129877 34.29262000000001, -114.10662 34.288984, -114.093545 34.30232, -114.14557200000002 34.341582, -114.171414 34.39355100000001, -114.210153 34.42815900000002, -114.273936 34.45726100000002, -114.323549 34.453423, -114.34846 34.476960999999996, -114.350014 34.53090699999998, -114.369622 34.592793999999984, -114.327822 34.630992999999975, -114.303543 34.68592100000001, -114.31670000000001 34.730179, -114.484049 34.71760500000001, -114.482993 34.779011000000004)"
108127,102692,"LINESTRING (-100.993906 31.836995999999985, -101.023007 31.843196999999986, -101.07472 31.89367500000001, -101.126015 31.906389999999995, -101.188531 31.95287400000002, -101.239847 31.96930400000002, -101.416997 32.10754900000001, -101.472101 32.17286700000001, -101.47814 32.194663999999996, -101.486701 32.197022999999994, -101.52163100000001 32.190087, -101.533337 32.194458, -101.545691 32.22880199999999, -101.573559 32.221698, -101.645509 32.18164, -101.7591 32.140778999999995, -101.791838 32.14148, -101.805028 32.137094000000005)"
