startHub,endHub,road_geometry
collegeStation,wallerL,"LINESTRING (-96.30714 30.595494999999985, -96.301056 30.600469, -96.292787 30.59387799999999, -96.278739 30.575933999999997, -96.187049 30.496667999999996, -96.103426 30.415067, -96.079205 30.404724999999978, -96.07052700000001 30.395055000000013, -96.06394 30.362572000000007, -96.047925 30.336657999999993, -96.04105 30.26841500000002, -96.054793 30.23080600000003, -96.075337 30.113775000000032, -96.054015 30.111094000000016, -96.031397 30.091587000000022, -95.999485 30.081405000000007, -95.905416 30.064235000000014)"
troyL,waco,"LINESTRING (-97.311978 31.19118999999999, -97.310554 31.195375000000002, -97.307915 31.194519999999997, -97.30054900000002 31.212804999999996, -97.251559 31.296531000000005, -97.238631 31.317085, -97.226865 31.32927599999997, -97.22198 31.340477000000014, -97.212718 31.384858000000012, -97.205883 31.401243000000015, -97.135604 31.520829, -97.129088 31.535643, -97.146778 31.549416999999995)"
rhomeL,weatherfordL,"LINESTRING (-97.484111 33.057093, -97.479439 33.05600199999998, -97.475332 33.047753, -97.457358 33.041011, -97.442903 33.02244900000002, -97.420744 32.96985899999999, -97.420485 32.94057099999999, -97.40180400000001 32.90380199999999, -97.361519 32.85668800000003, -97.360293 32.84442400000001, -97.365303 32.836292, -97.413688 32.813525, -97.424528 32.80478100000001, -97.451529 32.795413, -97.473936 32.776732999999986, -97.482136 32.73877100000002, -97.523163 32.72095899999997, -97.570562 32.72144199999998, -97.589635 32.727748, -97.623471 32.73200899999999, -97.697762 32.755126999999995, -97.746853 32.74363300000001, -97.743123 32.74296800000001)"
dallas2L,dallas,"LINESTRING (-96.83928000000002 32.64101600000001, -96.839986 32.64207500000002, -96.824644 32.64159700000001, -96.822643 32.643229, -96.823184 32.69740600000001, -96.824624 32.70192100000003, -96.829179 32.708645000000004, -96.829708 32.71241800000001, -96.823239 32.73888300000001, -96.810103 32.74757499999999, -96.809278 32.758485000000015, -96.803109 32.76699800000002, -96.796142 32.77383400000001, -96.79794 32.77567, -96.796749 32.77594500000001)"
theWoodlands,wallerL,"LINESTRING (-95.504517 30.173647000000013, -95.502632 30.172808000000003, -95.50962100000001 30.164335000000005, -95.509645 30.155246, -95.50472 30.143925, -95.506821 30.094933000000008, -95.534277 30.085351000000013, -95.541999 30.078359999999996, -95.555645 30.076319000000012, -95.58270800000001 30.051695, -95.633682 30.05248900000001, -95.682933 30.050099999999997, -95.710364 30.054741000000007, -95.743858 30.05284300000002, -95.752383 30.048246, -95.76327100000002 30.03425100000002, -95.771566 30.00037999999998, -95.835905 30.024366, -95.845636 30.034223999999995, -95.865257 30.042052999999996, -95.886196 30.05561700000001, -95.90802300000001 30.063665999999987, -95.905416 30.064235000000014)"
chocolateBay,freeport,"LINESTRING (-96.621653 28.584268999999978, -96.622571 28.595344000000004, -96.63145599999999 28.606554000000006, -96.621827 28.613985000000007, -96.626496 28.620808999999998, -96.621552 28.632467000000005, -96.575528 28.666472000000006, -96.44014 28.731337999999987, -96.392446 28.739689000000006, -96.366402 28.726858999999997, -96.345469 28.76238700000001, -96.284981 28.818776000000014, -96.252222 28.868349000000016, -96.209244 28.870884999999994, -96.19202 28.882741999999993, -96.147296 28.896980999999993, -96.013172 28.984431999999998, -95.93995400000001 28.983066999999973, -95.90455 29.004255, -95.838205 29.063934000000028, -95.772458 29.072679999999984, -95.758912 29.081751000000008, -95.733007 29.084525000000003, -95.691344 29.09747700000001, -95.680214 29.105569000000006, -95.670658 29.124362000000023, -95.653231 29.138068000000015, -95.62835 29.09291099999998, -95.577217 29.060683999999988, -95.566713 29.033439000000012, -95.517803 28.986410000000014, -95.488132 28.984420999999987, -95.44714300000001 28.969749000000004, -95.41057 28.96681299999999, -95.38749 28.94886900000002, -95.363923 28.94239500000002, -95.359698 28.954036)"
brazoria,leagueCity,"LINESTRING (-95.49952000000002 29.181846, -95.484721 29.190482, -95.471238 29.18991100000001, -95.461733 29.19729400000001, -95.442432 29.19731399999999, -95.430067 29.20420899999999, -95.400975 29.205077999999993, -95.394993 29.202851, -95.343273 29.268461000000002, -95.291553 29.324467000000013, -95.248195 29.396229999999996, -95.233666 29.406812000000013, -95.228414 29.418425999999993, -95.226704 29.430475000000015, -95.238388 29.448039000000012, -95.22205 29.472070000000002, -95.218368 29.482954, -95.202127 29.499446999999986, -95.188461 29.509217999999997, -95.177498 29.494626999999998, -95.157473 29.489077999999996, -95.128577 29.499841000000004, -95.094971 29.507552000000025)"
midlothianL,almaL,"LINESTRING (-97.010923 32.48294999999999, -97.01041 32.477494, -97.01292 32.475854000000005, -97.00038 32.46334800000001, -96.98560000000002 32.463181, -96.97328300000001 32.472058999999994, -96.959839 32.471454000000016, -96.902034 32.430786999999995, -96.869872 32.429679, -96.832618 32.417096000000015, -96.811375 32.386964, -96.798538 32.35382800000001, -96.75233300000001 32.327878, -96.718719 32.326898000000014, -96.662466 32.320981, -96.647973 32.31114000000001, -96.633714 32.294942000000006, -96.620414 32.28927800000002, -96.587818 32.289262, -96.56915 32.296822, -96.545762 32.286461000000024, -96.543763 32.287968000000006)"
midlothianL,dallas1L,"LINESTRING (-97.010923 32.48294999999999, -97.009155 32.482060000000004, -97.008876 32.48633100000003, -97.00638300000001 32.489386, -96.99267 32.49563800000001, -96.988261 32.50017400000001, -96.976069 32.531498000000006, -96.975687 32.55051299999999, -96.964655 32.57204900000002, -96.878656 32.65288199999997, -96.876191 32.65318100000001, -96.858034 32.64581100000001, -96.837477 32.64232599999999, -96.802299 32.642083000000014, -96.750804 32.65472800000001, -96.751214 32.65557299999999, -96.754425 32.655005, -96.754734 32.655924999999996)"
sanAntonio3L,nataliaL,"LINESTRING (-98.61770100000001 29.310896999999986, -98.616557 29.310392000000018, -98.62477 29.30298700000001, -98.644455 29.288585999999977, -98.716291 29.259028000000004, -98.774479 29.241495999999994, -98.779741 29.237747000000017, -98.794103 29.222556999999966, -98.839239 29.187505000000023, -98.84497 29.184703000000013, -98.846251 29.185942000000015, -98.845767 29.18478300000001)"
midlothianL,fortWorthL,"LINESTRING (-97.010923 32.48294999999999, -97.010999 32.48212600000001, -97.01683 32.48214500000001, -97.039881 32.49326500000001, -97.079138 32.52122700000003, -97.099495 32.532593, -97.103426 32.537275, -97.118618 32.57038200000001, -97.136972 32.58596700000001, -97.143192 32.593362, -97.147431 32.59189800000001, -97.160554 32.591479, -97.19051500000002 32.57729500000002, -97.198951 32.576454, -97.206544 32.57394800000001, -97.21371 32.574399, -97.218636 32.576344, -97.237437 32.576257, -97.241704 32.57990499999996, -97.307155 32.579982000000015, -97.317362 32.577861000000006, -97.319073 32.580281, -97.319457 32.584558, -97.3191 32.595835, -97.317541 32.598567000000024)"
comfortL,sanAntonio,"LINESTRING (-98.90318 29.98203200000001, -98.88493300000002 29.95312, -98.858073 29.927316, -98.824467 29.909444999999998, -98.789062 29.864665000000024, -98.774816 29.83840600000001, -98.755887 29.820718000000017, -98.749064 29.788482000000013, -98.664292 29.717549999999992, -98.613783 29.634903000000005, -98.584856 29.54936300000002, -98.557035 29.52568099999999, -98.544744 29.487793000000003, -98.529049 29.483524000000006, -98.517176 29.473964999999996, -98.514733 29.44289, -98.505476 29.438400000000016, -98.501695 29.424737, -98.495383 29.42453)"
baytownL,channelview,"LINESTRING (-95.032577 29.797868999999995, -95.032477 29.797695999999984, -95.038231 29.795265000000008, -95.048839 29.791318, -95.051808 29.790601000000002, -95.054576 29.790474000000003, -95.056858 29.790850999999986, -95.06610000000002 29.794820999999995, -95.06978 29.795425999999985, -95.072551 29.794961000000008, -95.0824 29.791544999999996, -95.089317 29.790594, -95.094457 29.789424000000018, -95.106624 29.78542100000002, -95.10660900000002 29.783041999999973, -95.10539 29.781371999999998, -95.114206 29.776707999999996, -95.113913 29.776148000000003, -95.114654 29.776139999999998)"
