startHub,endHub,road_geometry
deerPark,pearland,"LINESTRING (-95.123815 29.705227999999977, -95.123964 29.71171599999998, -95.153786 29.712390000000028, -95.153709 29.688012999999998, -95.15627600000002 29.677663, -95.156225 29.650276999999978, -95.15856 29.642439000000007, -95.173786 29.627585, -95.191509 29.616735000000006, -95.210179 29.60324600000001, -95.21701 29.60116699999998, -95.286325 29.600604000000008, -95.286387 29.563976000000014)"
killeen,austin,"LINESTRING (-97.727792 31.11722800000001, -97.742943 31.12076, -97.765493 31.061619000000004, -97.752258 31.008912999999993, -97.786226 30.955451999999994, -97.80184 30.885198000000013, -97.757944 30.771832000000007, -97.66804 30.721711000000013, -97.653442 30.700658999999984, -97.69194100000001 30.630837000000003, -97.691971 30.533729000000008, -97.666321 30.45461, -97.671875 30.391349999999992, -97.734343 30.267744999999994, -97.743783 30.27090799999999)"
freeport,brazoria,"LINESTRING (-95.359698 28.954036, -95.373713 28.95795400000001, -95.37076000000002 28.97083600000001, -95.386073 29.000936999999993, -95.403064 29.00955700000002, -95.419234 29.010069999999985, -95.429343 29.013793999999997, -95.439987 29.030163, -95.45381900000001 29.040565, -95.455642 29.054200000000005, -95.451838 29.066207000000006, -95.451111 29.118634999999966, -95.452995 29.178949999999986, -95.450548 29.183825000000002, -95.464302 29.195712999999987, -95.470489 29.190163999999992, -95.484721 29.190482, -95.49952000000002 29.181846)"
sugarLand,theWoodlands,"LINESTRING (-95.634985 29.619829000000006, -95.603028 29.626206000000018, -95.60124600000002 29.62119800000002, -95.558584 29.660462999999993, -95.563774 29.86679800000001, -95.54891400000001 29.87872999999999, -95.555993 29.92048300000002, -95.543853 29.929415, -95.547052 29.95179600000001, -95.542266 29.956978000000003, -95.562829 29.972898000000008, -95.613419 30.050200000000014, -95.581864 30.051801999999988, -95.555587 30.076059000000015, -95.50667 30.09398100000001, -95.504534 30.143921999999996, -95.50944700000001 30.164322999999996, -95.504517 30.173647000000013)"
texasCity,leagueCity,"LINESTRING (-94.91739 29.390298999999985, -94.917387 29.39322700000001, -94.916196 29.393368999999993, -94.925843 29.393311000000022, -94.931732 29.395207000000003, -94.975389 29.39573799999999, -95.006025 29.39798999999999, -95.026724 29.403365000000008, -95.037406 29.408121999999995, -95.06927300000001 29.439493999999996, -95.080171 29.452911999999987, -95.095299 29.47197000000002, -95.113725 29.50316000000002, -95.094971 29.507552000000025)"
amarillo,wichitaFalls,"LINESTRING (-101.833821 35.20723400000001, -101.58123099999999 35.178528000000014, -101.40309 35.12727600000001, -101.220923 35.04152700000004, -101.093949 35.030179, -100.866437 34.928054, -100.653954 34.862952000000014, -100.48860500000002 34.68219399999999, -100.464673 34.599628000000024, -100.435456 34.57896600000002, -100.43770000000002 34.54044599999999, -100.256714 34.44391199999998, -99.778406 34.29366599999999, -99.471532 34.249117000000005, -99.310241 34.161275999999994, -99.140256 34.13401400000002, -98.967338 34.051276, -98.906111 34.04304599999998, -98.78730600000002 33.97404199999998, -98.525786 33.94451899999999, -98.501791 33.90045600000001)"
sanJacinto,theWoodlands,"LINESTRING (-95.19257100000002 30.509218000000004, -95.19803300000001 30.51350800000002, -95.204414 30.511037, -95.20628 30.52252199999998, -95.217979 30.525238, -95.235021 30.54266300000001, -95.238821 30.561128000000014, -95.29711000000002 30.543121999999975, -95.33283 30.524170000000005, -95.386013 30.523048000000003, -95.456085 30.535493000000017, -95.467695 30.53140400000001, -95.483592 30.537606000000014, -95.496985 30.534938999999984, -95.491096 30.519162000000005, -95.495155 30.432658999999994, -95.487217 30.404045000000007, -95.483689 30.348184999999987, -95.456997 30.27710400000002, -95.456647 30.207952999999996, -95.482156 30.204285999999993, -95.482198 30.190002, -95.504517 30.173647000000013)"
odessa,elPaso,"LINESTRING (-102.367677 31.845700000000004, -102.87694200000001 31.579295999999992, -103.327759 31.475238, -103.398096 31.419713999999992, -103.49842000000001 31.39589000000001, -103.556289 31.406481000000003, -103.741816 31.339833000000024, -103.854305 31.269381000000017, -104.070459 31.083911000000008, -104.159029 31.060793999999998, -104.41374499999999 31.073787000000006, -104.84556 31.03579699999999, -104.902165 31.039231000000008, -105.48418800000002 31.21768799999997, -105.531173 31.19327, -105.710042 31.178400000000003, -105.92402200000001 31.38126700000002, -106.12071600000002 31.506909999999994, -106.32421 31.739333999999992, -106.400639 31.782184999999995, -106.446515 31.76792900000002, -106.441113 31.786562000000014)"
wichitaFalls,dallas,"LINESTRING (-98.501791 33.90045600000001, -98.478704 33.884612999999995, -98.43365 33.88523300000002, -98.343873 33.867799, -98.222845 33.81996700000002, -98.21526200000001 33.80692299999998, -98.13051600000001 33.76620799999999, -98.087911 33.696259, -98.040236 33.64904699999999, -97.904732 33.583169000000005, -97.829615 33.53277399999999, -97.774596 33.450294, -97.70997 33.37744800000001, -97.703401 33.354179999999985, -97.68014 33.343218, -97.586769 33.21668099999999, -97.50023000000002 33.144281, -97.471777 33.101881000000006, -97.475646 33.04796099999999, -97.438594 33.036836000000015, -97.325547 33.034995999999985, -97.224189 33.013524, -97.21585800000001 33.000157000000016, -97.171787 32.98616700000002, -97.15468800000001 32.96286099999997, -97.102851 32.94101599999998, -97.0871 32.92424600000001, -97.032746 32.929631999999984, -96.9509 32.883603, -96.902947 32.836000999999975, -96.821418 32.799894000000016, -96.796749 32.77594500000001)"
freeport,leagueCity,"LINESTRING (-95.359698 28.954036, -95.328408 28.996388999999986, -95.327564 29.028536999999993, -95.35902100000001 29.066294999999997, -95.372066 29.109888000000012, -95.391634 29.13293399999999, -95.395329 29.16840999999999, -95.387824 29.180057999999992, -95.387808 29.195109000000002, -95.394539 29.203426000000015, -95.291553 29.324467000000013, -95.248195 29.396229999999996, -95.233666 29.406812000000013, -95.226704 29.430475000000015, -95.238388 29.448039000000012, -95.208678 29.493328999999985, -95.188461 29.509217999999997, -95.177498 29.494626999999998, -95.157938 29.489051000000003, -95.094971 29.507552000000025)"
