startHub,endHub,road_geometry
coconinoAZ,laPazAZ,"LINESTRING (-111.763491 35.83494299999999, -111.810919 35.85185100000001, -111.886156 35.838207000000004, -111.908078 35.818362, -112.00442 35.833856999999995, -112.072854 35.803324999999994, -112.130979 35.803651999999985, -112.177527 35.47723700000001, -112.150359 35.262214, -112.18536 35.26291800000001, -112.243265 35.224007999999984, -112.474301 35.221923000000004, -112.403553 35.078030999999996, -112.38898 34.999566000000016, -112.461483 34.90873500000001, -112.47021800000002 34.86752999999999, -112.424315 34.58566599999999, -112.545484 34.429770999999995, -112.583637 34.42755399999999, -112.65933700000001 34.378002, -112.722389 34.299337999999985, -112.754966 34.206002999999995, -112.800801 34.20789299999999, -112.837077 34.16651100000001, -112.99210200000002 34.10641600000002, -113.134103 33.989592, -113.143466 33.94293, -113.53781600000002 33.82441800000001, -113.668203 33.75381400000002, -113.688263 33.72485400000001, -113.92284500000001 33.685301000000024, -113.922609 33.76813599999999, -113.94001 33.768069, -113.940498 33.729476000000005)"
mckinleyNM,sanMiguelNM,"LINESTRING (-108.256281 35.58234300000001, -108.231847 35.57438600000001, -108.254599 35.56152799999999, -108.20094800000001 35.532864, -108.132769 35.531099, -108.144346 35.427131000000024, -108.224404 35.39617299999999, -108.01205 35.346362999999975, -107.978222 35.264410000000005, -107.89730500000002 35.166326000000005, -107.757872 35.075158000000016, -107.699218 35.061758000000005, -107.538015 35.07336899999999, -107.454243 35.028298000000014, -107.361309 35.03872599999999, -107.298213 34.99443999999999, -107.13532 34.977837, -106.79564 35.061277000000025, -106.70417 35.10653699999999, -106.629057 35.104666000000016, -106.590218 35.146210000000025, -106.532103 35.320456, -106.452012 35.39229299999999, -106.24072600000001 35.508679, -106.165559 35.522085000000004, -106.026625 35.61078900000001, -105.95005500000002 35.63637200000001, -105.92644600000001 35.633374999999994, -105.86085600000001 35.538659, -105.774967 35.590498000000004, -105.75063800000001 35.56080200000001, -105.709568 35.549305000000004, -105.668933 35.481440000000006, -105.60038 35.43121300000001, -105.461341 35.39692, -105.319995 35.39694000000001, -105.207828 35.595282000000026, -105.182258 35.60154500000001, -104.919401 35.60102299999998, -104.902061 35.50538900000002, -104.844207 35.46682800000001, -104.800111 35.48826800000001)"
coconinoAZ,mckinleyNM,"LINESTRING (-111.763491 35.83494299999999, -111.788117 35.83956700000002, -111.801584 35.87974499999999, -111.784459 35.895681, -111.72466 35.897269999999985, -111.700593 35.939674, -111.572394 35.92017499999997, -111.479197 35.85926100000001, -111.425239 35.854960999999996, -111.504363 35.69075999999999, -111.554749 35.492764999999984, -111.580906 35.38164499999998, -111.542979 35.323927, -111.542303 35.282336000000015, -111.581627 35.215718, -111.408947 35.202027000000015, -111.164522 35.12234699999999, -110.914725 35.09130100000001, -110.693466 35.038712999999994, -110.67406 35.017604, -110.523489 34.97484200000002, -110.316527 34.954750000000004, -110.243707 34.91252000000001, -110.192914 34.90492400000002, -110.144165 34.917829999999995, -110.084569 34.97412, -109.88015 35.00532399999998, -109.768667 35.06600500000002, -109.604682 35.10619299999999, -109.44970500000001 35.185922000000005, -109.34013244544438 35.21229327641743, -109.25418367568021 35.27751693969353, -109.17788078479484 35.280186781497974, -109.12072185634095 35.30433359257229, -108.932946 35.469052999999995, -108.762022 35.527838, -108.598775 35.52890500000001, -108.224404 35.39617299999999, -108.152433 35.42078499999999, -108.132769 35.531099, -108.20094800000001 35.532864, -108.254599 35.56152799999999, -108.231847 35.57438600000001, -108.256281 35.58234300000001)"
trinityCA,sutterCA,"LINESTRING (-123.10926800000001 40.64158599999999, -123.04919000000001 40.63722300000001, -123.009934 40.59465999999999, -122.98854099999998 40.60248400000001, -122.997792 40.61838100000001, -122.95708099999999 40.62526600000001, -122.937827 40.612967, -122.946931 40.64748999999998, -122.89815400000002 40.65357500000001, -122.87974700000001 40.67297900000001, -122.78214899999999 40.664907, -122.740215 40.63368500000001, -122.666776 40.67414099999998, -122.62046099999999 40.65046299999999, -122.5824 40.652212000000006, -122.48160300000002 40.591007, -122.36126900000001 40.582968, -122.34277600000001 40.512541999999996, -122.289611 40.448010000000004, -122.278866 40.28883700000001, -122.224863 40.15596899999997, -122.142886 40.041863000000006, -122.09989700000001 40.02798599999999, -122.069012 39.961065000000005, -121.69333200000001 39.620614000000025, -121.68771700000002 39.34637999999999, -121.63512 39.199842000000004, -121.63341500000001 39.070233, -121.68961299999998 39.06889700000001, -121.688215 39.03444299999999)"
millsTX,dallasTX,"LINESTRING (-98.59053000000002 31.49965200000001, -98.578464 31.499258999999995, -98.561737 31.454298999999985, -98.205574 31.48522100000001, -98.151357 31.479183000000027, -98.158818 31.614818999999976, -98.119189 31.717589, -98.123282 31.778030999999995, -98.106717 31.87868500000002, -98.03949 31.962583000000006, -97.995745 32.06027000000002, -97.92251500000002 32.15176999999999, -97.87161400000001 32.186815000000024, -97.798861 32.19826499999999, -97.77389 32.232306999999984, -97.697785 32.26461299999998, -97.596084 32.28477100000001, -97.55204 32.305091999999995, -97.469792 32.31376399999999, -97.43682 32.330536, -97.444666 32.360342, -97.422009 32.375524000000006, -97.330997 32.38433300000002, -97.232694 32.415727, -97.167771 32.416056, -97.014046 32.47261700000001, -96.988261 32.50017400000001, -96.964655 32.57204900000002, -96.830889 32.705933000000016, -96.802877 32.76910400000001, -96.774322 32.77359500000002)"
brooksTX,102826,"LINESTRING (-98.235722 27.038006999999997, -98.222444 27.081867000000024, -98.193702 27.09787700000002, -98.191583 27.113020000000002, -98.148729 27.13375000000001, -98.149503 27.165082, -98.126828 27.332474999999977, -98.114463 27.353785000000006, -98.120421 27.38020300000001, -98.097562 27.550639999999987, -97.91257 27.530151000000004, -97.895645 27.522396000000008, -97.87782 27.522601999999992, -97.877951 27.530359000000004, -97.856208 27.530629000000026, -97.854685 27.538083999999998, -97.791166 27.59513899999999, -97.782128 27.592629000000006)"
sanMiguelNM,carsonTX,"LINESTRING (-104.800111 35.48826800000001, -104.844207 35.46682800000001, -104.880112 35.49187400000001, -104.874855 35.607664000000014, -104.771317 35.565877, -104.759148 35.535396, -104.699755 35.534872, -104.688565 35.51487400000001, -104.641691 35.508990999999995, -104.594763 35.46129800000001, -104.495756 35.462076, -104.459354 35.41772499999997, -104.45705 35.346084, -104.392106 35.29668799999999, -104.23888100000002 35.301179, -104.20781700000002 35.36296300000002, -104.170788 35.37390800000001, -104.14145 35.350559999999994, -103.984259 35.32383500000001, -103.783636 35.241418000000024, -103.724882 35.17907699999999, -103.487279 35.172911999999975, -103.352819 35.111637, -103.277532 35.114081000000006, -103.07060800000001 35.18238400000002, -102.984795 35.185699, -102.72173 35.26959999999998, -102.582159 35.27324300000002, -102.24826900000001 35.210478000000016, -101.922256 35.19156899999999, -101.89234 35.22140000000001, -101.740706 35.224129, -101.39389 35.331869, -101.37769100000001 35.343322, -101.381582 35.39803000000002, -101.354228 35.403358000000004)"
trinityCA,alamedaCA,"LINESTRING (-123.10926800000001 40.64158599999999, -123.009934 40.59465999999999, -122.87974700000001 40.67297900000001, -122.740215 40.63368500000001, -122.65009299999998 40.671631999999995, -122.48160300000002 40.591007, -122.36392000000001 40.58513099999999, -122.29000800000001 40.44906000000002, -122.200492 39.96601900000001, -122.180601 39.21049800000001, -121.93995900000002 38.84321700000001, -121.95471600000002 38.373597, -122.13771500000001 38.217527, -122.10331 38.105698, -122.13062 38.051317000000004, -122.052732 37.9597, -122.07084800000001 37.896271999999996, -121.87734400000001 37.64303000000002)"
sanBernardinoCA,laPazAZ,"LINESTRING (-116.219216 34.88901000000001, -116.321296 34.83350699999999, -116.38943 34.77769499999999, -116.45280600000001 34.787559999999985, -116.367981 34.77239599999999, -116.312359 34.738908000000016, -116.242904 34.72633800000003, -116.08331599999998 34.727371, -116.04192600000002 34.714276000000005, -115.883726 34.734502, -115.736963 34.716482, -115.558993 34.732715, -115.36930900000002 34.803110000000004, -115.314034 34.800985, -115.02738400000001 34.829290000000015, -114.923813 34.85778899999998, -114.86091600000002 34.85976, -114.785081 34.882425, -114.75402700000001 34.87797800000002, -114.69836699999999 34.891289, -114.667527 34.881295999999985, -114.61554 34.84686, -114.59721100000002 34.823404, -114.60897 34.79365100000001, -114.59701300000002 34.757464000000006, -114.641198 34.61759300000002, -114.63104299999999 34.59633399999999, -114.642727 34.58121100000001, -114.649041 34.519805000000005, -114.655187 34.37255399999999, -114.641039 34.233713, -114.600366 34.193421000000015, -114.57424 34.188498, -114.502935 34.197054000000016, -114.401815 34.18459500000001, -114.351166 34.156842999999995, -114.301813 34.16473200000002, -114.280997 34.136887000000016, -114.276361 34.09345800000001, -114.257769 34.065819, -114.258217 34.031936, -114.241982 34.007991000000025, -114.209627 33.99308200000001, -114.078869 33.99062299999999, -114.045628 33.973877, -113.990845 33.91331600000001, -113.922609 33.86415100000001, -113.922609 33.76813599999999, -113.94001 33.768069, -113.940498 33.729476000000005)"
cochiseAZ,coconinoAZ,"LINESTRING (-109.750757 31.90551400000002, -109.814503 31.908517, -109.878962 32.035965, -110.093781 32.043344000000005, -110.259444 31.965414, -110.678623 32.00148999999999, -110.972962 32.188764000000006, -111.05359 32.325705000000006, -111.378623 32.63772500000001, -111.680866 32.816100000000006, -111.69076 32.92564400000001, -111.969294 33.28403800000003, -111.968818 33.405685, -112.107369 33.43178400000001, -112.15018900000001 34.12908199999999, -112.116347 34.36283900000001, -111.979177 34.53154200000001, -111.90970200000001 34.53890800000002, -111.867182 34.60850099999998, -111.589777 34.79564500000001, -111.685133 34.97390699999999, -111.65980400000001 35.17338600000001, -111.853814 35.24889699999996, -112.150884 35.26111300000001, -112.177527 35.47723700000001, -112.130979 35.803651999999985, -111.763491 35.83494299999999)"
