startHub,endHub,kmLength_euclid,kmLength_road,exist_pipeline
lulingL,sanAntonio,90.96972338789757,93.9933,0
almaL,tyler,117.02020617786117,140.0115,0
weimarL,corpusChristi,221.91221330762784,255.0987,0
laredo,sanAntonio,232.19547803164377,249.208,0
nataliaL,sanAntonio,43.12058941329182,46.3793,0
bridgeportL,weatherfordL,52.960656425535866,66.6016,0
leagueCity,deerParkL,22.081936093754212,32.1215,0
theWoodlands,houston2L,43.58125020854426,48.389199999999995,0
chocolateBay,weimarL,124.1455987943095,159.62720000000002,0
eloyL,willcoxL,181.21169728646836,227.4477,0
vanHorn,elPaso,173.47420984914962,193.0757,0
lasCrucesL,elPaso,70.04816866135856,90.3145,0
dallas2L,rockwallL,49.85320179538327,58.7505,0
sugarLand,pearland,34.2652004033507,39.377300000000005,0
houston2L,houston1L,9.728144565435123,12.9399,0
theWoodlands,clevelandL,44.48167093962918,55.955,0
amarillo,wichitaFalls,338.2304669210329,360.49240000000003,0
dallas,coachellaL,1803.4394812029145,2104.9127000000003,1
sanAntonio3L,sanAntonio,17.30494968100277,19.208599999999997,0
midlothianL,dallas1L,30.70437141836854,36.7304,0
fairfieldL,tyler,107.98233481957764,136.42229999999998,0
texasCity,freeport,64.59620302250947,76.89439999999999,0
pasadena,houston1L,13.224660743615699,18.097900000000003,0
midland,odessa,32.08354939436859,36.3666,0
troyL,hillsboroL,92.87699606421188,97.60860000000001,0
tollesonL,quartzsiteL,186.97784384084122,191.5308,0
willcoxL,lordsburgL,104.93326416976784,116.8368,0
pearland,leagueCity,19.55844051140185,22.509900000000002,0
rhomeL,fortWorthL,53.0687963458596,58.0155,0
sanAntonio1L,sanAntonio,17.30494968100277,19.208599999999997,0
hutchinsL,tyler,134.0913553535844,154.74460000000002,0
wallerL,houston,61.892737452867756,68.8317,0
sanAntonio2L,seguinL,34.01383055495068,35.3684,0
rhomeL,wichitaFalls,132.87012876336414,143.8126,0
tollesonL,coachellaL,365.6511083279957,375.38620000000003,0
sanAntonio3L,sanAntonio1L,0.0,0.0,0
bridgeportL,wichitaFalls,103.35693052315163,131.7279,0
lordsburgL,lasCrucesL,170.7409560690631,180.783,0
dallas1L,dallas,13.892667709487492,22.8955,0
hillsboroL,midlothianL,52.96469962718424,68.2916,0
rockwallL,dallas,38.621504366742634,40.469,0
chocolateBay,brazoria,127.34048146748007,142.3664,0
brazoria,pearland,47.079456897107164,57.169,0
baytown,laPorte,8.714227358691438,12.2735,0
buckeyeL,quartzsiteL,155.02480241427102,157.741,0
katyL,houston,49.69315465794844,53.1118,0
centerville,collegeStation,79.69262732679358,109.2741,0
lulingL,austin,69.85644166296461,76.9666,0
corpusChristi,sanAntonio1L,208.45954886260407,239.8099,0
laredo,corpusChristi,208.31242789790213,225.24929999999998,0
weimarL,katyL,87.0065040354792,89.6665,0
nataliaL,corpusChristi,211.34717971631963,235.1754,0
sugarLand,houston,30.069049972098014,33.4805,0
comfortL,sonora,179.14000606738097,197.8702,0
freeport,leagueCity,66.41128952560715,82.71910000000001,0
sanAntonio2L,comfortL,78.8960532976698,91.52669999999999,0
pearland,deerParkL,24.51880059710911,32.4336,0
annaL,dallas1L,77.95106706758037,86.1839,0
buckeyeL,tollesonL,32.87653793768108,34.8486,0
italy L,almaL,34.94848366822249,40.0908,0
buckeyeL,coachellaL,333.3902980091792,341.5964,0
katyL,houston2L,49.463401355211126,53.3753,0
tollesonL,eloyL,89.41716411502976,105.36810000000001,0
sonoraL,sanAngelo,99.85129640645981,111.1136,0
seguinL,sanAntonio,47.07656607549712,48.3677,0
brownsville,corpusChristi,205.27813467806436,258.5963,0
portArthur,montBelvieu,92.92805605993426,101.27,1
houston2L,wallerL,59.486475753542955,63.8919,0
hillsboroL,fairfieldL,91.46597349393437,122.03389999999999,0
sanJacinto,laPorte,94.66272840100825,125.11930000000001,1
tyler,dallas1L,140.4740459630113,152.2126,0
midlothianL,dallas,38.17132471307622,40.2533,0
abilene,wichitaFalls,198.43295509783127,245.8006,0
sonoraL,comfortL,174.2056003186124,191.7714,0
fortStocktonL,vanHorn,189.43320411787406,196.63029999999998,0
