hubA,hubB,road_geometry
elPaso,midland,"LINESTRING (-106.487465 31.759175999999997, -106.401293 31.782085999999993, -106.325534 31.740192999999998, -106.120807 31.506190000000004, -105.92496800000002 31.38135999999999, -105.708583 31.177596999999963, -105.531046 31.193054999999973, -105.484449 31.217500000000012, -104.88752800000002 31.036633000000005, -104.41399 31.073448999999993, -104.158797 31.060480000000005, -104.055671 31.08733000000001, -103.854665 31.26882600000003, -103.741872 31.339578999999993, -103.55618000000001 31.406314, -103.4978 31.395753000000006, -103.39817100000002 31.419484000000033, -103.331085 31.47412100000001, -102.87652 31.57925, -102.609902 31.730677000000018, -102.425407 31.81680499999999, -102.343584 31.83098699999999, -102.26455700000001 31.886003999999996, -102.073768 31.971726000000032, -102.074444 32.00002)"
laPorte,deerPark,"LINESTRING (-95.02454 29.65249, -95.083671 29.65172800000001, -95.097851 29.651006000000027, -95.098588 29.689983999999985, -95.11678 29.689660000000007)"
medicalCenter,houston,"LINESTRING (-95.393166 29.71178300000001, -95.394094 29.713848999999993, -95.396376 29.715273999999997, -95.391968 29.721914999999985, -95.389084 29.723287000000024, -95.381274 29.733098999999996, -95.38440900000002 29.73465300000001, -95.384429 29.735261, -95.381134 29.738092999999992, -95.377921 29.742178999999993, -95.37964 29.743206, -95.368113 29.75777199999999, -95.370684 29.75931699999999, -95.36952 29.760779999999993)"
houston,centerville,"LINESTRING (-95.36952 29.760779999999993, -95.37351 29.809316000000003, -95.411767 29.879462000000007, -95.411852 29.934155999999998, -95.45567 30.203469999999996, -95.456727 30.27732399999999, -95.483227 30.347758, -95.494886 30.432556, -95.490871 30.518930000000008, -95.511189 30.660941, -95.582898 30.73240700000001, -95.676492 30.794044000000003, -95.789441 30.90907199999998, -95.875378 30.958628000000008, -95.90018000000002 30.98369000000001, -95.943806 31.04303600000003, -95.975773 31.123205000000006, -95.996705 31.211566, -95.987848 31.25602100000001, -95.97831 31.25797399999998)"
mcallen,corpusChristi,"LINESTRING (-98.229338 26.207703999999993, -98.180803 26.21167500000001, -98.15070800000001 26.277229999999992, -98.10941 26.64154799999999, -98.09845800000001 26.771143000000016, -98.135597 26.870747999999992, -98.150291 27.157289, -98.069984 27.749488, -98.021405 27.780555999999986, -97.933624 27.776908, -97.76724 27.811199000000016, -97.629836 27.78280200000001, -97.40374 27.796421999999996)"
chocolateBay,sanJacinto,"LINESTRING (-95.143739 29.197374999999973, -95.147843 29.198840000000004, -95.149897 29.20331599999999, -95.151612 29.202255000000015, -95.171651 29.230449000000014, -95.17228900000002 29.24260899999999, -95.168322 29.24512299999999, -95.170874 29.24670300000002, -95.105921 29.30942399999999, -95.061128 29.321274000000003, -95.03465800000001 29.344414, -95.030534 29.35269700000001, -95.016174 29.34837900000001, -95.009756 29.357062000000003, -94.980691 29.357816000000028, -94.952286 29.345331999999996, -94.909814 29.31184699999999, -94.904165 29.304329000000003, -94.865519 29.285572999999992, -94.83492800000002 29.288737000000015, -94.787378 29.301199000000004, -94.785586 29.29595000000002, -94.783122 29.29613400000001)"
abilene,midland,"LINESTRING (-99.74142 32.44917499999999, -99.92747500000002 32.459459000000024, -100.00329100000002 32.476580999999996, -100.105447 32.485564, -100.126062 32.49593999999999, -100.200349 32.48515499999998, -100.269097 32.496435000000005, -100.362771 32.483193000000014, -100.39483 32.450919, -100.466765 32.453573000000006, -100.680931 32.406999, -100.716886 32.415395, -100.818274 32.397337, -100.8607 32.412042000000014, -100.90697 32.39311900000001, -100.959572 32.38640299999997, -101.011655 32.354012, -101.200598 32.32524300000001, -101.223635 32.307688999999996, -101.385212 32.269093999999996, -101.502979 32.260828999999994, -101.527528 32.232788, -101.572748 32.22205199999999, -101.645509 32.18164000000001, -101.759418 32.14066999999999, -101.80847 32.13768499999999, -101.832373 32.11391600000002, -102.074444 32.00002)"
houston,texarkana,"LINESTRING (-95.36952 29.760779999999993, -95.225309 30.140120000000007, -94.946118 30.576493, -94.952303 30.71700100000001, -94.826297 30.91104100000001, -94.810312 31.130951999999997, -94.73034400000002 31.285446999999973, -94.726034 31.475388000000017, -94.671854 31.577269000000012, -94.68304 31.925236000000016, -94.588464 32.039831000000014, -94.338452 32.18164499999999, -94.363068 33.00081900000002, -94.163603 33.13496699999999, -94.150273 33.33597100000001, -94.048266 33.425574)"
baytown,channelview,"LINESTRING (-94.996356 29.72870400000001, -94.991137 29.731448000000032, -94.991864 29.731961999999992, -94.993602 29.731807000000003, -94.993781 29.735463, -94.98805 29.743552, -94.985313 29.745338000000014, -94.989908 29.75249999999998, -94.992443 29.75466100000001, -95.003088 29.76044999999999, -95.021827 29.778665, -95.044395 29.788268999999985, -95.049788 29.791250000000016, -95.051463 29.791563999999987, -95.054671 29.790740999999983, -95.056858 29.79085099999998, -95.06701300000002 29.79509999999998, -95.072052 29.79513800000001, -95.0824 29.791537999999985, -95.094457 29.789423999999993, -95.106624 29.785421000000028, -95.10660900000002 29.783041999999984, -95.10539 29.78137200000001, -95.11203400000001 29.77785700000001)"
texarkana,dallas,"LINESTRING (-94.048266 33.425574, -94.0535 33.43505500000003, -94.096268 33.443386, -94.099677 33.45247499999999, -94.265141 33.47636400000001, -94.337157 33.468392, -94.444714 33.47596199999999, -94.52475 33.44033700000001, -94.713201 33.299202000000015, -94.785991 33.28742900000001, -94.88162800000002 33.23204099999999, -94.916209 33.199935999999994, -95.03651 33.15850599999999, -95.390597 33.16626699999999, -95.451789 33.147748000000014, -95.561362 33.144774000000005, -95.595235 33.11642900000001, -95.721293 33.11957699999999, -95.787835 33.131596999999985, -96.072877 33.13578999999999, -96.200666 33.021938, -96.25943600000001 32.987447, -96.330294 32.970159, -96.386615 32.92967600000001, -96.445409 32.91303400000001, -96.67704 32.799641, -96.759976 32.79078700000001, -96.795125 32.77823500000001)"
